State,Year,Illnesses,Hospitalizations,Fatalities,Illnesses_log,time zone,Cluster
Alabama,1998,20,2.0,0.0,1.6094379124341003,CTZ,0
Alaska,1998,6,3.0,0.0,1.0986122886681098,ADTZ,0
Arizona,1998,580,11.0,0.0,4.060443010546419,MTZ,0
California,1998,2356,90.0,1.0,7.764720544771477,PTZ,5
Colorado,1998,520,3.0,0.0,3.9512437185814275,MTZ,0
Connecticut,1998,1662,0.0,0.0,5.6240175061873385,ETZ,4
Florida,1998,17700,100.0,4.0,7.989560449333865,ETZ,3
Georgia,1998,366,1.0,0.0,4.110873864173311,ETZ,0
Hawaii,1998,3344,5.0,0.0,6.035481432524756,HSTZ,4
Illinois,1998,6376,26.0,0.0,7.374001859350161,CTZ,1
Indiana,1998,3462,20.0,0.0,6.3578422665081,ETZ,2
Iowa,1998,580,0.0,0.0,4.976733742420574,CTZ,0
Kansas,1998,3020,2.0,0.0,5.71042701737487,MTZ,4
Kentucky,1998,342,1.0,0.0,4.04305126783455,ETZ,0
Louisiana,1998,1608,14.0,0.0,5.996452088619021,CTZ,4
Maine,1998,336,4.0,0.0,4.02535169073515,ETZ,0
Maryland,1998,2676,7.0,0.0,6.100318952020064,ETZ,4
Massachusetts,1998,2478,14.0,0.0,6.023447592961033,ETZ,4
Michigan,1998,1152,22.0,0.0,5.2574953720277815,ETZ,4
Minnesota,1998,3360,3.0,0.0,6.733401891837359,CTZ,2
Missouri,1998,124,4.0,0.0,3.4339872044851463,CTZ,0
Nebraska,1998,750,0.0,0.0,4.31748811353631,MTZ,0
New Jersey,1998,1500,17.0,0.0,5.521460917862246,ETZ,4
New Mexico,1998,700,3.0,0.0,4.248495242049359,MTZ,0
New York,1998,5040,58.0,0.0,6.733401891837359,ETZ,2
North Carolina,1998,102,0.0,0.0,2.833213344056216,ETZ,0
North Dakota,1998,6200,0.0,0.0,6.429719478039138,MTZ,2
Ohio,1998,10848,72.0,1.0,7.4999765409521215,ETZ,1
Oklahoma,1998,116,2.0,0.0,3.367295829986474,CTZ,0
Oregon,1998,7480,5.0,0.0,6.617402977974478,MTZ,2
Pennsylvania,1998,3018,19.0,0.0,6.220590170099739,ETZ,2
South Carolina,1998,72,1.0,0.0,2.4849066497880004,ETZ,0
South Dakota,1998,160,1.0,0.0,2.772588722239781,MTZ,0
Tennessee,1998,1872,12.0,0.0,5.7430031878094825,ETZ,4
Texas,1998,5360,85.0,0.0,6.284134161070802,MTZ,2
Utah,1998,330,3.0,0.0,3.4965075614664802,MTZ,0
Vermont,1998,24,0.0,0.0,1.3862943611198906,ETZ,0
Virginia,1998,966,6.0,0.0,5.081404364984463,ETZ,0
Washington,1998,329,13.0,0.0,5.796057750765372,PTZ,4
Washington DC,1998,570,0.0,0.0,4.553876891600541,ETZ,0
West Virginia,1998,1374,0.0,0.0,5.43372200355424,ETZ,4
Wisconsin,1998,2136,55.0,0.0,6.280395838960195,CTZ,2
Alabama,1999,1564,6.0,0.0,5.968707559985366,CTZ,0
Arizona,1999,3000,11.0,0.0,5.703782474656201,MTZ,2
Arkansas,1999,680,2.0,0.0,5.135798437050262,CTZ,2
California,1999,2867,55.0,0.0,7.96102146588337,PTZ,1
Colorado,1999,1950,4.0,0.0,5.272999558563747,MTZ,2
Connecticut,1999,630,18.0,0.0,4.653960350157523,ETZ,4
Florida,1999,4896,48.0,1.0,6.704414354964107,ETZ,5
Georgia,1999,2922,50.0,0.0,6.18826412308259,ETZ,0
Hawaii,1999,976,5.0,1.0,4.804021044733257,HSTZ,4
Idaho,1999,330,3.0,0.0,3.4965075614664802,MTZ,4
Illinois,1999,6000,38.0,0.0,7.313220387090301,CTZ,3
Indiana,1999,3096,13.0,0.0,6.246106765481563,ETZ,0
Iowa,1999,1028,4.0,0.0,5.54907608489522,CTZ,2
Kansas,1999,1540,4.0,0.0,5.0369526024136295,MTZ,2
Kentucky,1999,54,5.0,0.0,2.1972245773362196,ETZ,4
Louisiana,1999,388,0.0,0.0,4.574710978503383,CTZ,4
Maine,1999,660,5.0,0.0,4.700480365792417,ETZ,4
Maryland,1999,5592,28.0,2.0,6.837332814685591,ETZ,5
Massachusetts,1999,360,1.0,0.0,4.0943445622221,ETZ,4
Michigan,1999,2616,11.0,0.0,6.077642243349034,ETZ,0
Minnesota,1999,2308,24.0,1.0,6.3578422665081,CTZ,0
Missouri,1999,404,3.0,0.0,4.61512051684126,CTZ,4
Nebraska,1999,2420,8.0,0.0,5.488937726156687,MTZ,2
New Hampshire,1999,948,12.0,0.0,5.062595033026967,ETZ,2
New Jersey,1999,132,1.0,0.0,3.091042453358316,ETZ,4
New Mexico,1999,1110,19.0,2.0,4.709530201312334,MTZ,4
New York,1999,222,1.0,1.0,3.6109179126442243,ETZ,4
North Dakota,1999,850,1.0,0.0,4.442651256490317,MTZ,4
